,Unnamed: 0.1,Unnamed: 0_x,code,protest,revolution,riots,strike,unrest,violence,date,geo_x,country_x,country_code,Unnamed: 0_y,Country,Time,BN.CAB.XOKA.GD.ZS,BX.KLT.DINV.WD.GD.ZS,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EN.ATM.CO2E.PP.GD.KD,EN.POP.DNST,EN.POP.SLUM.UR.ZS,EN.URB.LCTY,EN.URB.MCTY.TL.ZS,FR.INR.LNDP,FR.INR.RINR,FX.OWN.TOTL.40.ZS,GC.DOD.TOTL.GD.ZS,GC.TAX.TOTL.GD.ZS,GC.XPN.INTP.RV.ZS,MS.MIL.XPND.GD.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,PA.NUS.FCRF,PA.NUS.PPPC.RF,PX.REX.REER,SE.ADT.1524.LT.FM.ZS,SE.ADT.1524.LT.ZS,SE.ADT.LITR.ZS,SE.ENR.PRSC.FM.ZS,SE.TER.CUAT.BA.FE.ZS,SE.TER.CUAT.BA.MA.ZS,SE.TER.CUAT.BA.ZS,SH.H2O.BASW.ZS,SH.MED.BEDS.ZS,SH.MED.PHYS.ZS,SH.STA.BASS.ZS,SH.XPD.CHEX.PP.CD,SI.DST.10TH.10,SI.DST.FRST.10,SI.POV.GINI,SI.POV.LMIC.GP,SL.UEM.1524.FE.ZS,SL.UEM.1524.MA.ZS,SL.UEM.INTM.ZS,SL.UEM.TOTL.ZS,SM.POP.TOTL.ZS,SN.ITK.MSFI.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SP.URB.TOTL.IN.ZS,ST.INT.ARVL,ST.INT.DPRT,geo_y,economy,Unnamed: 0,iso3,country_y,year,month,unrest_index
920,920,38408,2004-09-01/TN,0.0,75.0,0.0,0.0,0.0,100.0,2004-09-01,TN,Tunisia,TUN,38023,Tunisia,2004-09-01,-0.4632857833718097,1.3677273827520475,97.25625,89.45432567596436,0.2681312410111845,95.78586051206752,10.475913469387756,2199028.25,25.243570112230763,1.519028022800147,-5.197891973698534,23.585909090909094,53.93122937264227,16.54088604387551,7.90005160014814,3.39858181781317,11.14407093524035,19828886414.42095,1395.3968170707144,369.76949166666645,0.43705046162311767,116.14325427297736,0.9760700166225433,95.65974426269531,83.29925155639647,0.9899524971842775,26.88690948486329,25.402759552002,25.9752197265625,92.95569934062502,1.5624999999999998,1.2980500000000001,87.53453384875,219.98052216,29.41956521739131,2.5228260869565218,37.9054347826087,3.0858695652173918,39.07150006294253,20.579062461853013,10.42690902189778,10.116750061511986,4.182223293619806,22.19268092105263,75.72787500000001,67.34593749999999,56.9001875,2889875.0,5272250.0,TN,TUN,1741,TUN,Tunisia,2004,9,0.0
921,921,38409,2004-10-01/TN,0.0,0.0,0.0,0.0,0.0,0.0,2004-10-01,TN,Tunisia,TUN,38024,Tunisia,2004-10-01,-0.5692177484835386,1.4267509858207568,97.27222222222221,90.51495615641277,0.26646568297252454,92.5038300386475,10.47361306122449,2157909.0,24.4132021683772,1.519028022800147,-5.197891973698534,23.51787878787879,53.92082145269637,16.777698019921445,8.082173651327798,3.1793951783856103,10.278241882449692,21261520271.42357,1593.6138975677661,328.82237777777755,0.4353368375339769,116.2101509447611,0.9739400148391724,95.51299285888673,82.2990010579427,0.9924999972184508,26.88690948486329,25.402759552002,25.9752197265625,92.64265798944446,1.6166666666666665,1.3016,86.75158290333334,240.11455281999997,29.404347826086962,2.5217391304347827,37.89565217391305,3.0913043478260875,37.82544453938804,21.84716669718423,10.565151445793415,10.573777781592465,3.9995862620206277,22.16436403508772,75.90144444444445,67.84738888888889,57.79461111111111,3235222.222222222,4943333.333333333,TN,TUN,206,TUN,Tunisia,2004,10,0.0003901264205052
922,922,38410,2004-11-01/TN,0.0,42.0,0.0,60.0,0.0,0.0,2004-11-01,TN,Tunisia,TUN,38025,Tunisia,2004-11-01,-0.6751497135952675,1.4857745888894658,97.28819444444444,91.57558663686116,0.2648001249338646,89.22179956522746,10.471312653061224,2116789.75,23.582834224523637,1.519028022800147,-5.197891973698534,23.449848484848488,53.910413532750475,17.014509995967376,8.264295702507455,2.9602085389580504,9.412412829659031,22694154128.426186,1791.8309780648178,287.87526388888875,0.4336232134448362,116.27704761654483,0.9718100130558014,95.36624145507814,81.29875055948892,0.9950474972526243,26.88690948486329,25.402759552002,25.9752197265625,92.3296166382639,1.670833333333333,1.30515,85.96863195791667,260.24858348,29.38913043478261,2.5206521739130436,37.88586956521739,3.0967391304347833,36.57938901583355,23.115270932515454,10.703393869689048,11.030805501672944,3.81694923042145,22.136047149122806,76.0750138888889,68.34884027777778,58.68903472222222,3580569.4444444445,4614416.666666666,TN,TUN,1742,TUN,Tunisia,2004,11,0.0
923,923,38411,2004-12-01/TN,27.0,0.0,80.0,0.0,0.0,0.0,2004-12-01,TN,Tunisia,TUN,38026,Tunisia,2004-12-01,-0.7810816787069964,1.544798191958175,97.30416666666667,92.63621711730957,0.26313456689520465,85.93976909180745,10.469012244897959,2075670.5,22.752466280670074,1.519028022800147,-5.197891973698534,23.381818181818183,53.900005612804584,17.251321972013308,8.446417753687113,2.74102189953049,8.54658377686837,24126787985.428802,1990.0480585618698,246.92814999999985,0.43190958935569546,116.34394428832857,0.9696800112724305,95.21949005126955,80.29850006103516,0.9975949972867978,26.88690948486329,25.402759552002,25.9752197265625,92.01657528708334,1.7249999999999996,1.3087,85.1856810125,280.38261414,29.373913043478264,2.5195652173913046,37.87608695652174,3.1021739130434787,35.33333349227905,24.383375167846673,10.841636293584683,11.487833221753423,3.634312198822272,22.107730263157894,76.24858333333334,68.85029166666666,59.58345833333333,3925916.666666667,4285500.0,TN,TUN,213,TUN,Tunisia,2004,12,0.0004876580256316
924,924,38412,2005-01-01/TN,0.0,51.0,0.0,0.0,0.0,0.0,2005-01-01,TN,Tunisia,TUN,38027,Tunisia,2005-01-01,-0.8870136438187254,1.6038217950268843,97.32013888888889,93.69684759775798,0.2614690088565447,82.65773861838741,10.466711836734694,2034551.25,21.92209833681651,1.519028022800147,-5.197891973698534,23.31378787878788,53.889597692858686,17.48813394805924,8.62853980486677,2.52183526010293,7.680754724077711,25559421842.43142,2188.2651390589212,205.981036111111,0.4301959652665547,116.41084096011231,0.9675500094890597,95.07273864746095,79.29824956258138,1.0001424973209712,26.88690948486329,25.402759552002,25.9752197265625,91.70353393590278,1.7791666666666663,1.3122500000000001,84.40273006708334,300.5166448,29.358695652173918,2.518478260869565,37.86630434782609,3.1076086956521745,34.087277968724564,25.651479403177895,10.979878717480318,11.944860941833904,3.451675167223094,22.07941337719298,76.42215277777778,69.35174305555554,60.47788194444445,4271263.888888889,3956583.333333333,TN,TUN,1743,TUN,Tunisia,2005,1,0.0
925,925,38413,2005-02-01/TN,98.0,0.0,0.0,0.0,0.0,0.0,2005-02-01,TN,Tunisia,TUN,38028,Tunisia,2005-02-01,-0.9929456089304542,1.6628453980955933,97.33611111111112,94.75747807820638,0.2598034508178848,79.37570814496739,10.46441142857143,1993432.0,21.091730392962948,1.519028022800147,-5.197891973698534,23.24575757575758,53.87918977291279,17.72494592410517,8.810661856046428,2.3026486206753702,6.8149256712870505,26992055699.434036,2386.482219555973,165.03392222222215,0.42848234117741396,116.47773763189605,0.9654200077056887,94.92598724365236,78.2979990641276,1.0026899973551446,26.88690948486329,25.402759552002,25.9752197265625,91.39049258472222,1.833333333333333,1.3158,83.61977912166667,320.65067546,29.34347826086957,2.517391304347826,37.856521739130436,3.1130434782608702,32.84122244517007,26.919583638509117,11.118121141375951,12.401888661914382,3.2690381356239158,22.05109649122807,76.59572222222224,69.85319444444444,61.372305555555556,4616611.111111111,3627666.6666666665,TN,TUN,1744,TUN,Tunisia,2005,2,0.0
926,926,38414,2005-03-01/TN,0.0,0.0,0.0,18.0,0.0,58.0,2005-03-01,TN,Tunisia,TUN,38029,Tunisia,2005-03-01,-1.098877574042183,1.7218690011643025,97.35208333333334,95.81810855865479,0.25813789277922483,76.09367767154737,10.462111020408162,1952312.75,20.261362449109384,1.519028022800147,-5.197891973698534,23.177727272727275,53.8687818529669,17.961757900151106,8.992783907226086,2.08346198124781,5.94909661849639,28424689556.436653,2584.6993000530247,124.0868083333333,0.42676871708827324,116.54463430367979,0.9632900059223177,94.77923583984378,77.29774856567383,1.0052374973893181,26.88690948486329,25.402759552002,25.9752197265625,91.07745123354167,1.8874999999999997,1.31935,82.83682817625001,340.78470612,29.32826086956522,2.516304347826087,37.846739130434784,3.1184782608695656,31.59516692161558,28.187687873840336,11.256363565271588,12.858916381994861,3.086401104024738,22.022779605263157,76.76929166666667,70.35464583333334,62.266729166666664,4961958.333333333,3298750.0,TN,TUN,225,TUN,Tunisia,2005,3,0.0003901264205052
927,927,38415,2005-04-01/TN,0.0,0.0,0.0,68.0,0.0,0.0,2005-04-01,TN,Tunisia,TUN,38030,Tunisia,2005-04-01,-1.2048095391539122,1.7808926042330118,97.36805555555557,96.8787390391032,0.2564723347405649,72.81164719812735,10.459810612244897,1911193.5,19.430994505255825,1.519028022800147,-5.197891973698534,23.109696969696973,53.858373933021,18.198569876197034,9.174905958405743,1.86427534182025,5.0832675657057305,29857323413.43927,2782.9163805500766,83.13969444444444,0.4250550929991325,116.61153097546352,0.9611600041389469,94.63248443603518,76.29749806722005,1.0077849974234916,26.88690948486329,25.402759552002,25.9752197265625,90.76440988236112,1.9416666666666664,1.3229000000000002,82.05387723083334,360.91873677999996,29.313043478260873,2.515217391304348,37.83695652173913,3.1239130434782614,30.349111398061083,29.455792109171554,11.394605989167221,13.315944102075342,2.90376407242556,21.994462719298244,76.94286111111111,70.85609722222222,63.16115277777778,5307305.555555556,2969833.333333333,TN,TUN,1745,TUN,Tunisia,2005,4,0.0215914207827226
928,928,38416,2005-05-01/TN,0.0,0.0,57.0,71.0,0.0,46.0,2005-05-01,TN,Tunisia,TUN,38031,Tunisia,2005-05-01,-1.310741504265641,1.8399162073017208,97.38402777777779,97.93936951955159,0.254806776701905,69.52961672470732,10.457510204081633,1870074.25,18.600626561402258,1.519028022800147,-5.197891973698534,23.041666666666668,53.84796601307511,18.43538185224297,9.3570280095854,1.6450887023926901,4.21743851291507,31289957270.441887,2981.133461047128,42.192580555555594,0.42334146890999175,116.67842764724726,0.959030002355576,94.48573303222659,75.29724756876628,1.010332497457665,26.88690948486329,25.402759552002,25.9752197265625,90.45136853118056,1.9958333333333331,1.3264500000000001,81.27092628541666,381.05276743999997,29.297826086956526,2.514130434782609,37.82717391304348,3.129347826086957,29.103055874506595,30.723896344502776,11.532848413062855,13.77297182215582,2.721127040826382,21.966145833333332,77.11643055555557,71.3575486111111,64.0555763888889,5652652.777777778,2640916.6666666665,TN,TUN,1746,TUN,Tunisia,2005,5,0.0
929,929,38417,2005-06-01/TN,35.0,0.0,67.0,26.0,0.0,0.0,2005-06-01,TN,Tunisia,TUN,38032,Tunisia,2005-06-01,-1.41667346937737,1.89893981037043,97.40000000000002,99.0,0.253141218663245,66.2475862512873,10.455209795918368,1828955.0,17.7702586175487,1.519028022800147,-5.197891973698534,22.973636363636366,53.83755809312921,18.6721938282889,9.53915006076506,1.42590206296513,3.35160946012441,32722591127.4445,3179.35054154418,1.24546666666667,0.421627844820851,116.745324319031,0.956900000572205,94.338981628418,74.2969970703125,1.0128799974918385,26.88690948486329,25.402759552002,25.9752197265625,90.13832718,2.05,1.33,80.48797534,401.1867981,29.28260869565218,2.5130434782608697,37.81739130434783,3.1347826086956525,27.857000350952102,31.992000579834,11.671090836958491,14.2299995422363,2.5384900092272042,21.93782894736842,77.29,71.859,64.95,5998000.0,2312000.0,TN,TUN,1747,TUN,Tunisia,2005,6,0.0
