,date,country_code,Country,year,protest,revolution,riots,strike,unrest,violence,SN.ITK.MSFI.ZS,SI.POV.LMIC.GP,EN.ATM.CO2E.PP.GD.KD,FR.INR.RINR,GC.XPN.INTP.RV.ZS,FR.INR.LNDP,NY.GDP.DEFL.KD.ZG,BX.KLT.DINV.WD.GD.ZS,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,GC.DOD.TOTL.GD.ZS,BN.CAB.XOKA.GD.ZS,MS.MIL.XPND.GD.ZS,GC.TAX.TOTL.GD.ZS,PX.REX.REER,PA.NUS.FCRF,PA.NUS.PPPC.RF,EG.ELC.ACCS.ZS,SH.H2O.BASW.ZS,SH.STA.BASS.ZS,EG.CFT.ACCS.ZS,SH.XPD.CHEX.PP.CD,SH.MED.BEDS.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SH.MED.PHYS.ZS,SI.POV.GINI,SI.DST.10TH.10,SI.DST.FRST.10,SE.ENR.PRSC.FM.ZS,FX.OWN.TOTL.40.ZS,SE.ADT.1524.LT.FM.ZS,SL.UEM.1524.MA.ZS,SL.UEM.1524.FE.ZS,SL.UEM.TOTL.ZS,SL.UEM.INTM.ZS,ST.INT.ARVL,ST.INT.DPRT,SE.ADT.LITR.ZS,SE.ADT.1524.LT.ZS,SE.TER.CUAT.BA.MA.ZS,SE.TER.CUAT.BA.ZS,SE.TER.CUAT.BA.FE.ZS,EN.URB.LCTY,EN.URB.MCTY.TL.ZS,EN.POP.DNST,EN.POP.SLUM.UR.ZS,SP.URB.TOTL.IN.ZS,SM.POP.TOTL.ZS,unrest_index
561,2018-09-01,MAR,Morocco,2018,1.0,11.0,1.0,8.0,0.0,8.0,26.25,2.2,0.2220166697099452,18.04758058075628,9.610836484190472,3.028020947802196,0.1891271514762849,2.3915365146489025,117497244789.30324,3250.128295898437,55.627720323823205,-3.544805619326553,3.1669278177290425,20.168806268602022,98.84104193745736,9.615524021851604,0.4169949354800055,99.52499961853027,86.79184733,84.7077984875,97.9,394.8245697,1.0,75.76950000000001,71.84425,0.7308,39.5,31.899999999999995,2.7000000000000006,0.9330100268125532,19.29,0.9441275149583818,22.0987501144409,22.8454999923706,9.22850036621094,18.0699996948242,11777250.0,1867500.0,75.1271495819092,92.848222732544,10.774997771275627,12.367094470166618,16.157250309225397,3660755.5,21.75047385507375,79.82963029352453,10.850880000000002,62.04425,0.257467738138459,0.0701266806754413
562,2018-10-01,MAR,Morocco,2018,0.0,12.0,0.5,8.0,0.0,19.0,26.3,2.2,0.2218730268103023,18.111731052348865,9.589082391936063,3.0252608363858347,0.2724665384490521,2.4350745436119565,117795132092.07764,3255.24853515625,55.627720323823205,-3.692371727849373,3.161556677401,20.18184128072633,98.90583263883131,9.590032732859171,0.417616566847775,99.36666615804036,86.90272619333332,84.78509494666667,97.90000000000002,396.86308797,1.0,75.80466666666666,71.86466666666666,0.7308,39.5,31.899999999999995,2.7,0.9339500268300376,19.29,0.9496100147565206,22.108666737874334,22.875,9.229667027791344,18.0699996948242,11856333.333333334,1873666.6666666667,74.97413380940758,93.3906428019206,10.780027133490629,12.370260962124537,16.158259955533058,3663290.0,21.755203784479004,79.90420569123906,10.850879999999998,62.089666666666666,0.257467738138459,0.074881430230267
563,2018-11-01,MAR,Morocco,2018,1.0,16.0,0.0,9.0,7.0,26.0,26.35,2.2,0.2217293839106594,18.17588152394144,9.567328299681654,3.0225007249694733,0.3558059254218194,2.478612572575011,118093019394.85208,3260.3687744140625,55.62772032382319,-3.8399378363721937,3.156185537072957,20.19487629285064,98.9706233402053,9.56454144386674,0.4182381982155445,99.20833269755046,87.01360505666668,84.86239140583334,97.9,398.90160624,1.0,75.83983333333333,71.88508333333334,0.7307999999999999,39.5,31.9,2.7,0.9348900268475214,19.29,0.9550925145546596,22.118583361307767,22.9045000076294,9.230833689371748,18.0699996948242,11935416.666666666,1879833.3333333333,74.82111803690594,93.93306287129724,10.78505649570563,12.373427454082451,16.159269601840716,3665824.5,21.75993371388425,79.9787810889536,10.850879999999998,62.13508333333334,0.257467738138459,0.1485252666382199
564,2018-12-01,MAR,Morocco,2018,2.0,18.0,1.0,7.0,8.0,28.0,26.4,2.2000000000000006,0.2215857410110165,18.24003199553402,9.545574207427244,3.019740613553112,0.4391453123945866,2.522150601538065,118390906697.62653,3265.489013671875,55.627720323823205,-3.987503944895016,3.1508143967449147,20.20791130497495,99.03541404157924,9.53905015487431,0.4188598295833139,99.04999923706056,87.12448392,84.93968786500001,97.90000000000002,400.94012451,1.0,75.875,71.9055,0.7308,39.5,31.899999999999995,2.7000000000000006,0.9358300268650056,19.290000000000003,0.9605750143527984,22.1284999847412,22.9340000152588,9.23200035095215,18.0699996948242,12014500.0,1886000.0,74.6681022644043,94.47548294067384,10.790085857920632,12.37659394604037,16.160279248148374,3668359.0,21.7646636432895,80.05335648666815,10.850880000000002,62.1805,0.2574677381384589,0.8285726945124938
565,2019-01-01,MAR,Morocco,2019,2.0,14.0,0.0,8.0,4.0,13.0,26.450000000000003,2.2,0.2214420981113736,18.3041824671266,9.523820115172835,3.01698050213675,0.5224846993673539,2.565688630501119,118688794000.40092,3270.6092529296875,55.62772032382319,-4.135070053417835,3.1454432564168724,20.22094631709926,99.1002047429532,9.513558865881878,0.4194814609510835,98.89166577657063,87.23536278333334,85.01698432416667,97.90000000000002,402.97864278,1.0,75.91016666666667,71.92591666666668,0.7308,39.5,31.9,2.7000000000000006,0.9367700268824896,19.29,0.9660575141509374,22.13841660817464,22.9635000228882,9.233167012532554,18.0699996948242,12093583.333333334,1892166.6666666667,74.51508649190266,95.01790301005047,10.795115220135632,12.379760437998286,16.161288894456032,3670893.5,21.76939357269476,80.12793188438269,10.850880000000002,62.22591666666667,0.257467738138459,0.2307419518969398
566,2019-02-01,MAR,Morocco,2019,1.0,11.0,0.0,8.0,0.0,16.0,26.5,2.2,0.2212984552117306,18.368332938719178,9.502066022918426,3.014220390720389,0.6058240863401211,2.609226659464173,118986681303.17534,3275.7294921875,55.62772032382319,-4.282636161940656,3.1400721160888296,20.233981329223568,99.16499544432718,9.488067576889447,0.4201030923188529,98.73333231608072,87.34624164666667,85.09428078333333,97.9,405.01716105,1.0,75.94533333333334,71.94633333333333,0.7308,39.5,31.899999999999995,2.7,0.9377100268999736,19.29,0.9715400139490764,22.148333231608067,22.993000030517603,9.23433367411296,18.0699996948242,12172666.666666666,1898333.3333333333,74.36207071940105,95.5603230794271,10.800144582350631,12.382926929956202,16.162298540763693,3673428.0,21.7741235021,80.20250728209723,10.850879999999998,62.27133333333334,0.257467738138459,0.2979395043471953
567,2019-03-01,MAR,Morocco,2019,1.0,10.0,1.0,8.0,0.0,15.0,26.55,2.2,0.2211548123120877,18.43248341031176,9.480311930664016,3.0114602793040275,0.6891634733128883,2.652764688427228,119284568605.94975,3280.8497314453125,55.627720323823205,-4.430202270463478,3.134700975760787,20.24701634134788,99.22978614570113,9.462576287897017,0.4207247236866225,98.57499885559082,87.45712051,85.17157724249999,97.90000000000002,407.05567932,1.0,75.98049999999999,71.96675,0.7308,39.5,31.899999999999995,2.7,0.9386500269174576,19.29,0.9770225137472152,22.1582498550415,23.022500038147,9.23550033569336,18.0699996948242,12251750.0,1904500.0,74.2090549468994,96.10274314880373,10.805173944565636,12.38609342191412,16.16330818707135,3675962.5,21.77885343150525,80.27708267981178,10.850879999999998,62.316750000000006,0.257467738138459,0.1204986352378092
568,2019-04-01,MAR,Morocco,2019,1.0,10.0,1.0,8.0,0.0,13.0,26.6,2.2000000000000006,0.2210111694124448,18.496633881904337,9.458557838409607,3.008700167887666,0.7725028602856555,2.6963027173902816,119582455908.72417,3285.969970703125,55.62772032382319,-4.577768378986298,3.129329835432745,20.260051353472186,99.29457684707508,9.437084998904584,0.4213463550543919,98.4166653951009,87.56799937333334,85.24887370166667,97.90000000000002,409.09419759,1.0,76.01566666666666,71.98716666666667,0.7307999999999999,39.5,31.9,2.7000000000000006,0.939590026934942,19.290000000000003,0.982505013545354,22.168166478474934,23.0520000457764,9.236666997273764,18.0699996948242,12330833.333333334,1910666.6666666667,74.05603917439777,96.64516321818036,10.810203306780636,12.389259913872037,16.16431783337901,3678497.0,21.7835833609105,80.35165807752632,10.850880000000002,62.36216666666667,0.2574677381384589,0.4334106036851203
569,2019-05-01,MAR,Morocco,2019,1.0,10.0,1.0,9.0,0.0,13.0,26.65,2.2,0.2208675265128019,18.56078435349692,9.436803746155196,3.005940056471305,0.8558422472584227,2.739840746353336,119880343211.49858,3291.090209960937,55.627720323823205,-4.725334487509119,3.1239586951047023,20.27308636559649,99.35936754844904,9.411593709912152,0.4219679864221615,98.258331934611,87.67887823666666,85.32617016083334,97.9,411.13271586,1.0,76.05083333333333,72.00758333333333,0.7308,39.5,31.899999999999995,2.7000000000000006,0.940530026952426,19.29,0.987987513343493,22.178083101908367,23.0815000534058,9.237833658854166,18.0699996948242,12409916.666666666,1916833.3333333333,73.90302340189614,97.18758328755696,10.815232668995638,12.392426405829951,16.165327479686667,3681031.5,21.788313290315745,80.42623347524086,10.850880000000002,62.40758333333333,0.257467738138459,0.1712255280230337
570,2019-06-01,MAR,Morocco,2019,2.0,12.0,1.0,9.0,0.0,13.0,26.700000000000003,2.2,0.220723883613159,18.624934825089497,9.41504965390079,3.003179945054943,0.93918163423119,2.78337877531639,120178230514.273,3296.21044921875,55.627720323823205,-4.87290059603194,3.11858755477666,20.2861213777208,99.424158249823,9.38610242091972,0.422589617789931,98.0999984741211,87.78975710000002,85.40346662,97.90000000000002,413.1712341300001,1.0,76.086,72.028,0.7308,39.5,31.899999999999995,2.7,0.94147002696991,19.29,0.993470013141632,22.1879997253418,23.1110000610352,9.23900032043457,18.0699996948242,12489000.0,1923000.0,73.7500076293945,97.7300033569336,10.82026203121064,12.395592897787868,16.16633712599433,3683566.0,21.793043219721,80.5008088729554,10.850879999999998,62.453,0.257467738138459,0.0153124620048331
