,Date,Year,AFG,ARE,ARM,AZE,BHR,DJI,DZA,EGY,GEO,IRN,IRQ,JOR,KAZ,KGZ,KWT,LBN,LBY,MAR,MRT,OMN,PAK,QAT,SAU,SDN,SOM,SYR,TJK,TKM,TUN,UZB,WBG,YEM
93,2007-05-01 00:00:00,2007,47.42407320690305,57.49441183768995,103.55102698870348,0,0,0,77.40854814597404,10.206980929534122,21.052353698455523,25.52233722154254,90.88540138759635,105.95028907858503,31.90249301335333,31.383529308146805,0,178.2693068172518,0,0,0,0,152.30922620674227,0,13.677536253805675,33.29829874336751,31.992689629592654,19.42747250133773,87.95224384916472,0,0,0,44.353922629874354,0
94,2007-06-01 00:00:00,2007,31.70839559235369,28.831173151431404,20.770697490031388,0,21.60122303101983,0,0,12.284153195139298,42.227690331981634,42.052025339285265,27.741568228114794,0,31.99567647119972,0,60.5858001958441,59.59667021719779,28.25030702562325,0,0,0,158.9889650506961,0,109.73989392407626,50.09333878021071,32.08613654122565,3.896843576116461,88.20914208604445,0,0,0,44.48347526007072,0
95,2007-07-01 00:00:00,2007,90.40631049059814,0,0,15.56359676357231,10.86863871170174,0,0,6.180762208021236,0,38.637158834802634,47.8565097013665,0,128.78879956105814,15.836721067118969,0,59.97203733149694,51.17083270770455,0,0,0,125.4826277198771,45.03770895321629,27.607771504615176,16.802949854063034,32.28822971922694,11.76416304317729,0,0,0,0,25.57923003041339,0
96,2007-08-01 00:00:00,2007,32.00489584765974,87.30230684707885,0,15.610805526021018,0,0,0,6.19951019662971,31.96691615220533,36.90891066173693,52.00181127186422,64.3520255414583,129.17945218055766,0,0,100.25658228871386,5.702894246957823,67.09100413740371,0,0,97.5440201381248,0,0,33.70783584540179,32.386168993153106,0,0,260.28465404048706,10.280070771927907,0,19.242614267260443,0
97,2007-09-01 00:00:00,2007,21.36404541165278,174.8292314620435,0,15.630887837810917,0,0,0,0,96.02411869066214,57.28240703543538,56.073993560131065,64.43481034324702,32.33640833937827,63.62077210795447,0,100.38555602688221,0,33.58865623077048,0,0,308.7616588718921,0,13.863568505275946,67.5023976791687,0,23.63005362154051,0,0,10.293295431354963,0,38.53473734157422,0
98,2007-10-01 00:00:00,2007,16.002992569814747,58.20351879710499,41.93126916620123,78.0566842119578,10.901977385058302,0,26.121088659247775,10.332868663322586,255.74403321223812,38.755675205802504,60.00413211021536,64.35421577338383,129.18384882476445,47.65589679818551,0,40.103997815287485,11.406176691829941,100.63993138638378,102.2676036515963,0,217.1214988546313,0,138.46228059412874,33.70898309721848,64.77454252363586,3.9334162217504396,0,260.2935128721125,20.56084131170347,54.6763631826155,6.41442306428247,0
99,2007-11-01 00:00:00,2007,63.89399590678858,232.38499771583494,41.853989633245305,31.165130145367897,10.881884987728874,0,26.072947365840076,0,659.4544639317667,40.52635537023993,35.9361265217867,21.411870213601194,0,110.9921557468941,61.0417020067749,140.10530083310638,17.07773257908985,0,102.07912396081046,152.4878238752145,728.6862543094954,90.1851983380489,248.7727690879466,117.7640004711348,64.65516272681123,39.261669165282854,0,0,0,0,44.81820875970278,22.897225687144516
100,2007-12-01 00:00:00,2007,10.676383378611686,29.122822401084658,62.94242668916243,0,21.819735835042728,0,26.139994339452105,10.340347291533343,213.27427772137742,53.55847797520432,52.04121983367377,42.933862315384246,32.31933707931854,158.9679624761805,0,40.1330239162858,34.243296447026175,0,0,0,248.7683037494418,0,0,118.06683235742783,0,0,0,0,0,164.14780900673463,25.67626254456783,22.956106245022934
101,2008-01-01 00:00:00,2008,26.69254944661961,87.37367508065223,20.982059524719865,15.623567108793369,43.64207294060613,0,0,31.022890983185885,458.5670298286728,68.33730374121889,8.006818756509428,42.93642152579869,32.321263576949626,0,0,120.40624852126302,11.415112542806398,0,204.69544470624976,0,154.30852514782603,0,13.857075500572941,16.867695729890336,32.41264416610922,19.682488734872567,89.10675584015104,0,0,0,121.96951703717622,0
102,2008-02-01 00:00:00,2008,42.74138167666625,116.589075495375,524.9605186540604,31.271499856325757,0,0,0,8.279221803557604,213.4533058302861,94.26811226864582,16.02612449834752,64.4548532143207,0,15.910140441771764,0,0,0,0,0,0,217.46103452847154,0,0,168.80848685859124,32.4379186368119,3.9395673174935824,0,0,0,0,44.97117779558298,0
