,Country Code,World Bank Code,Country,Year,Assassinations,General Strikes,Guerrilla Warfare,Government Crises,Purges,Riots,Revolutions,Anti-Government Demonstrations,Weighted Conflict Index,Type of Regime,Head of State,Effective Executive (Type),Effective Executive (Selection),Degree of Parliamentary Responsibility,Legislative Effectiveness
12066,0900,PAK,Pakistan,2011,4,0,1,1,0,1,0,2,3312,1,2,3,2,2,2
12067,0900,PAK,Pakistan,2012,2,0,9,2,0,4,1,1,15625,1,2,3,2,2,2
12068,0900,PAK,Pakistan,2013,3,0,50,0,1,7,0,5,66500,1,2,3,2,2,2
12069,0900,PAK,Pakistan,2014,1,0,57,1,0,11,0,8,76250,1,2,3,2,2,2
12070,0900,PAK,Pakistan,2015,3,0,32,0,0,3,0,31,45750,1,2,3,2,2,2
12071,0900,PAK,Pakistan,2016,0,1,47,0,0,5,0,55,67438,1,2,3,2,2,2
12072,0900,PAK,Pakistan,2017,1,0,61,1,0,3,0,6,78500,1,2,3,2,2,2
12073,0900,PAK,Pakistan,2018,1,0,46,0,1,7,0,15,62125,1,2,3,2,2,2
12074,0900,PAK,Pakistan,2019,0,9,82,0,2,17,0,57,117688,1,2,3,2,2,2
12075,0900,PAK,Pakistan,2020,0,4,37,0,2,12,0,36,56000,,,,,,
12076,0900,PAK,Pakistan,2021,0,5,87,0,0,16,0,90,126250,,,,,,
12134,0903,WBG,Palestinian Autonomous Areas,2000,,,,,,,,,,,2,2,1,0,1
12135,0903,WBG,Palestinian Autonomous Areas,2001,,,,,,,,,,,2,2,1,0,1
12136,0903,WBG,Palestinian Autonomous Areas,2002,,,,,,,,,,,2,2,1,2,1
12137,0903,WBG,Palestinian Autonomous Areas,2003,,,,,,,,,,,2,2,1,2,2
12138,0903,WBG,Palestinian Autonomous Areas,2004,,,,,,,,,,,2,2,1,2,2
12139,0903,WBG,Palestinian Autonomous Areas,2005,,,,,,,,,,,2,2,1,2,2
12140,0903,WBG,Palestinian Autonomous Areas,2006,,,,,,,,,,,2,2,1,2,2
12141,0903,WBG,Palestinian Autonomous Areas,2007,,,,,,,,,,,,,,,
12142,0903,WBG,Palestinian Autonomous Areas,2008,,,,,,,,,,,,,,,
12143,0903,WBG,Palestinian Autonomous Areas,2009,0,0,0,0,0,0,1,0,1875,,,,,,
12144,0903,WBG,Palestinian Autonomous Areas,2010,1,0,0,0,0,0,0,0,312,,,,,,
12145,0903,WBG,Palestinian Autonomous Areas,2011,0,0,0,0,0,0,0,0,0,,,,,,
12146,0903,WBG,Palestinian Autonomous Areas,2012,0,1,0,0,0,1,0,1,688,,,,,,
12147,0903,WBG,Palestinian Autonomous Areas,2013,0,0,0,0,0,1,0,0,312,,,,,,
12148,0903,WBG,Palestinian Autonomous Areas,2014,0,0,0,0,0,2,0,0,625,,,,,,
12149,0903,WBG,Palestinian Autonomous Areas,2015,0,1,0,1,0,3,0,0,1438,,,,,,
12150,0903,WBG,Palestinian Autonomous Areas,2016,0,0,0,0,0,1,0,2,562,,,,,,
12151,0903,WBG,Palestinian Autonomous Areas,2017,1,0,0,0,0,6,0,2,2438,,,,,,
12152,0903,WBG,Palestinian Autonomous Areas,2018,1,1,0,0,0,2,0,1,1312,,,,,,
12153,0903,WBG,Palestinian Autonomous Areas,2019,0,2,1,1,0,17,0,5,7938,,,,,,
12154,0903,WBG,Palestinian Autonomous Areas,2020,0,0,0,0,0,0,0,1,125,,,,,,
12155,0903,WBG,Palestinian Autonomous Areas,2021,0,0,0,0,0,1,0,1,438,,,,,,
13119,0965,QAT,Qatar,2000,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13120,0965,QAT,Qatar,2001,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13121,0965,QAT,Qatar,2002,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13122,0965,QAT,Qatar,2003,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13123,0965,QAT,Qatar,2004,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13124,0965,QAT,Qatar,2005,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13125,0965,QAT,Qatar,2006,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13126,0965,QAT,Qatar,2007,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13127,0965,QAT,Qatar,2008,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13128,0965,QAT,Qatar,2009,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13129,0965,QAT,Qatar,2010,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13130,0965,QAT,Qatar,2011,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13131,0965,QAT,Qatar,2012,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13132,0965,QAT,Qatar,2013,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13133,0965,QAT,Qatar,2014,0,0,0,0,0,1,0,0,312,1,1,1,3,1,1
13134,0965,QAT,Qatar,2015,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13135,0965,QAT,Qatar,2016,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13136,0965,QAT,Qatar,2017,0,0,0,0,0,0,0,1,125,1,1,1,3,1,1
13137,0965,QAT,Qatar,2018,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13138,0965,QAT,Qatar,2019,0,1,0,0,0,0,0,0,250,1,1,1,3,1,1
13139,0965,QAT,Qatar,2020,0,0,0,0,0,0,0,0,0,,,,,,
13140,0965,QAT,Qatar,2021,0,0,0,0,0,0,0,1,125,,,,,,
13608,0990,SAU,Saudi Arabia,2000,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13609,0990,SAU,Saudi Arabia,2001,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13610,0990,SAU,Saudi Arabia,2002,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13611,0990,SAU,Saudi Arabia,2003,0,0,0,0,0,0,0,1,125,1,1,1,3,1,1
13612,0990,SAU,Saudi Arabia,2004,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13613,0990,SAU,Saudi Arabia,2005,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13614,0990,SAU,Saudi Arabia,2006,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13615,0990,SAU,Saudi Arabia,2007,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13616,0990,SAU,Saudi Arabia,2008,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13617,0990,SAU,Saudi Arabia,2009,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13618,0990,SAU,Saudi Arabia,2010,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13619,0990,SAU,Saudi Arabia,2011,0,0,0,0,0,2,0,9,1750,1,1,1,3,1,1
13620,0990,SAU,Saudi Arabia,2012,0,0,0,0,0,1,0,4,812,1,1,1,3,1,1
13621,0990,SAU,Saudi Arabia,2013,0,0,0,0,0,0,0,1,125,1,1,1,3,1,1
13622,0990,SAU,Saudi Arabia,2014,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
13623,0990,SAU,Saudi Arabia,2015,0,0,11,0,0,0,0,0,13750,1,1,1,3,1,1
13624,0990,SAU,Saudi Arabia,2016,0,0,5,0,0,0,0,4,6750,1,1,1,3,1,1
13625,0990,SAU,Saudi Arabia,2017,0,0,9,0,1,1,0,1,11938,1,1,1,3,1,1
13626,0990,SAU,Saudi Arabia,2018,0,0,0,0,0,1,0,0,312,1,1,1,3,1,1
13627,0990,SAU,Saudi Arabia,2019,0,0,2,0,0,0,0,0,2500,1,1,1,3,1,1
13628,0990,SAU,Saudi Arabia,2020,0,0,1,0,1,0,0,0,1500,,,,,,
13629,0990,SAU,Saudi Arabia,2021,0,0,0,0,0,0,0,0,0,,,,,,
13978,1030,SOM,Somalia,2000,0,0,0,0,0,0,0,0,0,4,2,2,2,3,2
13979,1030,SOM,Somalia,2001,0,0,0,0,0,0,0,1,125,4,2,2,2,3,2
13980,1030,SOM,Somalia,2002,0,0,0,0,0,0,0,0,0,4,2,2,2,3,2
13981,1030,SOM,Somalia,2003,0,0,0,0,0,0,0,0,0,4,2,2,2,3,2
13982,1030,SOM,Somalia,2004,0,0,1,0,0,0,0,0,1250,4,2,2,2,2,2
13983,1030,SOM,Somalia,2005,0,0,1,0,0,1,0,0,1562,4,2,2,2,2,2
13984,1030,SOM,Somalia,2006,1,0,1,0,0,0,2,1,5437,4,2,2,2,2,2
13985,1030,SOM,Somalia,2007,0,0,1,2,0,0,1,1,3750,4,2,2,2,1,1
13986,1030,SOM,Somalia,2008,0,0,1,2,0,4,1,0,4875,4,2,2,2,1,1
13987,1030,SOM,Somalia,2009,1,0,0,1,0,1,1,0,2750,4,2,2,2,1,1
13988,1030,SOM,Somalia,2010,0,0,1,1,0,0,1,0,3375,4,2,2,2,1,1
13989,1030,SOM,Somalia,2011,1,0,1,0,0,0,0,0,1562,4,2,2,2,1,1
13990,1030,SOM,Somalia,2012,2,0,3,0,0,0,0,0,4375,1,2,2,2,1,1
13991,1030,SOM,Somalia,2013,1,0,7,1,0,0,0,0,9312,1,2,2,2,1,1
13992,1030,SOM,Somalia,2014,8,0,39,1,0,0,0,0,51500,1,2,2,2,1,1
13993,1030,SOM,Somalia,2015,7,0,34,0,0,0,0,0,44688,1,2,2,2,1,1
13994,1030,SOM,Somalia,2016,0,0,63,0,0,1,0,0,79062,1,2,2,2,1,1
13995,1030,SOM,Somalia,2017,2,0,67,0,0,2,0,1,85125,1,2,2,2,1,1
13996,1030,SOM,Somalia,2018,1,0,70,0,0,1,0,1,88250,1,2,2,2,1,1
13997,1030,SOM,Somalia,2019,0,0,67,0,0,1,0,0,84062,1,2,2,2,1,1
13998,1030,SOM,Somalia,2020,3,0,25,1,0,6,0,3,34688,,,,,,
13999,1030,SOM,Somalia,2021,0,0,37,1,0,3,0,2,47688,,,,,,
14466,1070,SDN,Sudan,2000,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
14467,1070,SDN,Sudan,2001,0,0,0,0,0,0,1,0,1875,1,2,2,1,1,1
14468,1070,SDN,Sudan,2002,0,0,1,0,0,0,1,0,3125,1,2,2,1,1,1
14469,1070,SDN,Sudan,2003,0,0,1,0,0,0,1,0,3125,1,2,2,1,1,1
14470,1070,SDN,Sudan,2004,0,0,2,0,0,0,2,0,6250,1,2,2,1,1,1
14471,1070,SDN,Sudan,2005,0,0,2,0,0,1,2,0,6562,1,2,2,1,1,1
14472,1070,SDN,Sudan,2006,0,0,1,0,0,0,1,0,3125,1,2,2,1,1,1
14473,1070,SDN,Sudan,2007,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
14474,1070,SDN,Sudan,2008,0,0,1,0,0,0,1,0,3125,1,2,2,1,0,1
14475,1070,SDN,Sudan,2009,0,0,1,0,0,0,1,1,3250,1,2,2,1,0,1
14476,1070,SDN,Sudan,2010,0,0,1,0,0,0,0,0,1250,1,2,2,1,0,1
14477,1070,SDN,Sudan,2011,0,0,1,0,0,1,0,1,1688,1,2,2,1,0,1
14478,1070,SDN,Sudan,2012,0,0,4,0,0,3,1,5,8438,1,2,2,1,0,1
14479,1070,SDN,Sudan,2013,0,0,4,0,0,4,0,1,6375,1,2,2,1,0,1
14480,1070,SDN,Sudan,2014,0,0,0,0,3,2,0,3,1750,1,2,2,1,0,1
14481,1070,SDN,Sudan,2015,0,0,8,0,1,0,0,1,10375,1,2,2,1,0,1
14482,1070,SDN,Sudan,2016,0,2,2,0,1,6,0,8,6125,1,2,2,1,0,1
14483,1070,SDN,Sudan,2017,0,0,0,0,1,0,0,0,250,1,2,2,1,1,1
14484,1070,SDN,Sudan,2018,0,1,12,0,2,7,0,14,19688,1,2,2,1,1,1
14485,1070,SDN,Sudan,2019,0,7,0,0,1,16,2,24,13750,2,4,5,3,0,0
14486,1070,SDN,Sudan,2020,1,2,4,0,0,22,0,20,15188,,,,,,
14487,1070,SDN,Sudan,2021,0,0,0,0,0,19,2,24,12688,,,,,,
15239,1110,SYR,Syria,2000,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15240,1110,SYR,Syria,2001,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15241,1110,SYR,Syria,2002,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15242,1110,SYR,Syria,2003,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15243,1110,SYR,Syria,2004,0,0,0,0,0,0,0,1,125,1,2,2,1,1,1
15244,1110,SYR,Syria,2005,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15245,1110,SYR,Syria,2006,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15246,1110,SYR,Syria,2007,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15247,1110,SYR,Syria,2008,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15248,1110,SYR,Syria,2009,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15249,1110,SYR,Syria,2010,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15250,1110,SYR,Syria,2011,0,7,1,0,3,7,1,74,17062,1,2,2,1,1,1
15251,1110,SYR,Syria,2012,2,1,2,0,0,6,1,27,10500,1,2,2,1,1,1
15252,1110,SYR,Syria,2013,3,0,41,0,0,0,0,2,52438,1,2,2,1,1,1
15253,1110,SYR,Syria,2014,1,0,47,0,0,0,0,1,59188,1,2,2,1,1,1
15254,1110,SYR,Syria,2015,0,0,72,0,0,0,0,1,90125,1,2,2,1,1,1
15255,1110,SYR,Syria,2016,0,0,48,0,0,0,0,2,60250,1,2,2,1,1,1
15256,1110,SYR,Syria,2017,0,0,40,0,0,0,0,0,50000,1,2,2,1,1,1
15257,1110,SYR,Syria,2018,0,0,70,0,0,0,0,1,87625,1,2,2,1,1,1
15258,1110,SYR,Syria,2019,1,0,117,0,0,6,0,9,149562,1,2,2,1,1,1
15259,1110,SYR,Syria,2020,0,0,10,0,0,0,0,1,12625,,,,,,
15260,1110,SYR,Syria,2021,0,0,194,0,0,0,0,4,243000,,,,,,
15270,1115,TJK,Tajikistan,2000,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15271,1115,TJK,Tajikistan,2001,1,0,0,0,0,0,0,0,312,1,2,2,1,1,1
15272,1115,TJK,Tajikistan,2002,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15273,1115,TJK,Tajikistan,2003,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15274,1115,TJK,Tajikistan,2004,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15275,1115,TJK,Tajikistan,2005,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15276,1115,TJK,Tajikistan,2006,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15277,1115,TJK,Tajikistan,2007,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15278,1115,TJK,Tajikistan,2008,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15279,1115,TJK,Tajikistan,2009,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15280,1115,TJK,Tajikistan,2010,0,0,1,0,0,0,0,0,1250,1,2,2,1,1,1
15281,1115,TJK,Tajikistan,2011,0,0,1,0,0,0,0,0,1250,1,2,2,1,1,1
15282,1115,TJK,Tajikistan,2012,0,0,1,0,0,0,0,0,1250,1,2,2,1,1,1
15283,1115,TJK,Tajikistan,2013,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15284,1115,TJK,Tajikistan,2014,0,0,0,0,0,1,0,1,438,1,2,2,1,1,1
15285,1115,TJK,Tajikistan,2015,1,0,1,0,1,0,0,0,1812,1,2,2,1,1,1
15286,1115,TJK,Tajikistan,2016,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15287,1115,TJK,Tajikistan,2017,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15288,1115,TJK,Tajikistan,2018,0,0,2,0,0,0,0,1,2625,1,2,2,1,1,1
15289,1115,TJK,Tajikistan,2019,0,0,0,0,1,1,0,0,562,1,2,2,1,1,1
15290,1115,TJK,Tajikistan,2020,0,0,0,0,0,1,0,0,312,,,,,,
15291,1115,TJK,Tajikistan,2021,0,0,0,0,1,2,0,1,1000,,,,,,
15734,1160,TUN,Tunisia,2000,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2
15735,1160,TUN,Tunisia,2001,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2
15736,1160,TUN,Tunisia,2002,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2
15737,1160,TUN,Tunisia,2003,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2
15738,1160,TUN,Tunisia,2004,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2
15739,1160,TUN,Tunisia,2005,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2
15740,1160,TUN,Tunisia,2006,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2
15741,1160,TUN,Tunisia,2007,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2
15742,1160,TUN,Tunisia,2008,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2
15743,1160,TUN,Tunisia,2009,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2
15744,1160,TUN,Tunisia,2010,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2
15745,1160,TUN,Tunisia,2011,0,2,0,0,1,13,1,16,8688,1,2,2,1,2,2
15746,1160,TUN,Tunisia,2012,0,0,0,0,0,4,0,4,1750,1,2,2,1,2,2
15747,1160,TUN,Tunisia,2013,2,2,2,2,2,2,0,8,6250,1,2,2,1,2,2
15748,1160,TUN,Tunisia,2014,2,0,12,1,0,2,0,2,16750,1,2,2,1,2,2
15749,1160,TUN,Tunisia,2015,2,1,6,0,0,0,0,2,8625,1,2,2,1,2,2
15750,1160,TUN,Tunisia,2016,0,0,3,1,0,3,0,9,6062,1,2,2,1,2,2
15751,1160,TUN,Tunisia,2017,0,2,2,0,0,3,0,2,4188,1,2,2,1,2,2
15752,1160,TUN,Tunisia,2018,0,2,3,0,0,5,0,8,6812,1,2,2,1,2,2
15753,1160,TUN,Tunisia,2019,0,4,6,0,0,1,0,6,9562,1,2,2,1,2,2
15754,1160,TUN,Tunisia,2020,0,3,2,1,0,7,0,13,7312,,,,,,
15755,1160,TUN,Tunisia,2021,0,1,1,1,0,15,0,15,8312,,,,,,
15961,1172,TKM,Turkmenistan,2000,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15962,1172,TKM,Turkmenistan,2001,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15963,1172,TKM,Turkmenistan,2002,1,0,0,0,0,0,0,0,312,1,2,2,1,1,1
15964,1172,TKM,Turkmenistan,2003,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15965,1172,TKM,Turkmenistan,2004,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15966,1172,TKM,Turkmenistan,2005,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15967,1172,TKM,Turkmenistan,2006,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
15968,1172,TKM,Turkmenistan,2007,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15969,1172,TKM,Turkmenistan,2008,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15970,1172,TKM,Turkmenistan,2009,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15971,1172,TKM,Turkmenistan,2010,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15972,1172,TKM,Turkmenistan,2011,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15973,1172,TKM,Turkmenistan,2012,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15974,1172,TKM,Turkmenistan,2013,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15975,1172,TKM,Turkmenistan,2014,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15976,1172,TKM,Turkmenistan,2015,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15977,1172,TKM,Turkmenistan,2016,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15978,1172,TKM,Turkmenistan,2017,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15979,1172,TKM,Turkmenistan,2018,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15980,1172,TKM,Turkmenistan,2019,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1
15981,1172,TKM,Turkmenistan,2020,0,0,0,0,0,0,0,1,125,,,,,,
15982,1172,TKM,Turkmenistan,2021,0,0,0,0,0,0,0,0,0,,,,,,
16147,1185,ARE,United Arab Emirates,2000,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16148,1185,ARE,United Arab Emirates,2001,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16149,1185,ARE,United Arab Emirates,2002,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16150,1185,ARE,United Arab Emirates,2003,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16151,1185,ARE,United Arab Emirates,2004,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16152,1185,ARE,United Arab Emirates,2005,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16153,1185,ARE,United Arab Emirates,2006,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16154,1185,ARE,United Arab Emirates,2007,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16155,1185,ARE,United Arab Emirates,2008,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16156,1185,ARE,United Arab Emirates,2009,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16157,1185,ARE,United Arab Emirates,2010,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16158,1185,ARE,United Arab Emirates,2011,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16159,1185,ARE,United Arab Emirates,2012,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16160,1185,ARE,United Arab Emirates,2013,0,0,0,0,0,0,1,0,1875,1,2,2,3,1,1
16161,1185,ARE,United Arab Emirates,2014,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16162,1185,ARE,United Arab Emirates,2015,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16163,1185,ARE,United Arab Emirates,2016,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16164,1185,ARE,United Arab Emirates,2017,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16165,1185,ARE,United Arab Emirates,2018,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16166,1185,ARE,United Arab Emirates,2019,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1
16167,1185,ARE,United Arab Emirates,2020,0,0,0,0,0,1,0,0,312,,,,,,
16168,1185,ARE,United Arab Emirates,2021,0,0,0,0,0,0,0,0,0,,,,,,
16383,1200,EGY,Egypt,2000,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
16384,1200,EGY,Egypt,2001,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
16385,1200,EGY,Egypt,2002,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
16386,1200,EGY,Egypt,2003,0,0,0,0,0,0,0,1,125,1,2,2,1,1,1
16387,1200,EGY,Egypt,2004,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
16388,1200,EGY,Egypt,2005,0,0,0,0,0,2,0,2,875,1,2,2,1,1,1
16389,1200,EGY,Egypt,2006,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
16390,1200,EGY,Egypt,2007,0,0,0,0,0,0,0,1,125,1,2,2,1,1,1
16391,1200,EGY,Egypt,2008,0,1,0,0,0,0,0,1,375,1,2,2,1,1,1
16392,1200,EGY,Egypt,2009,0,0,0,0,0,1,0,1,437,1,2,2,1,1,1
16393,1200,EGY,Egypt,2010,0,0,0,0,0,2,0,4,1125,1,2,2,1,1,1
16394,1200,EGY,Egypt,2011,1,1,0,0,2,27,1,46,17125,2,3,4,1,1,1
16395,1200,EGY,Egypt,2012,0,0,0,0,0,9,1,25,8125,1,2,2,1,1,1
16396,1200,EGY,Egypt,2013,1,2,12,1,2,25,1,24,29250,2,2,4,3,0,0
16397,1200,EGY,Egypt,2014,0,0,31,1,1,24,0,12,48250,1,2,2,1,1,2
16398,1200,EGY,Egypt,2015,0,1,44,1,1,5,0,5,57938,1,2,2,1,1,2
16399,1200,EGY,Egypt,2016,0,0,43,0,0,5,0,9,56438,1,2,2,1,1,2
16400,1200,EGY,Egypt,2017,0,0,46,0,0,3,0,1,58562,1,2,2,1,1,2
16401,1200,EGY,Egypt,2018,0,0,38,0,1,1,0,0,48062,1,2,2,1,1,2
16402,1200,EGY,Egypt,2019,0,0,39,0,1,2,0,2,49875,1,2,2,1,1,2
16403,1200,EGY,Egypt,2020,0,0,12,0,0,3,0,1,16062,,,,,,
16404,1200,EGY,Egypt,2021,0,0,74,0,0,0,0,0,92500,,,,,,
17306,1241,UZB,Uzbekistan,2000,0,0,1,0,0,0,1,0,3125,1,2,2,1,1,1
17307,1241,UZB,Uzbekistan,2001,0,0,0,0,0,0,1,0,1875,1,2,2,1,1,1
17308,1241,UZB,Uzbekistan,2002,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17309,1241,UZB,Uzbekistan,2003,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17310,1241,UZB,Uzbekistan,2004,0,0,1,0,0,0,0,1,1375,1,2,2,1,1,1
17311,1241,UZB,Uzbekistan,2005,0,0,0,0,0,2,1,1,2625,1,2,2,1,1,1
17312,1241,UZB,Uzbekistan,2006,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17313,1241,UZB,Uzbekistan,2007,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17314,1241,UZB,Uzbekistan,2008,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17315,1241,UZB,Uzbekistan,2009,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17316,1241,UZB,Uzbekistan,2010,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17317,1241,UZB,Uzbekistan,2011,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17318,1241,UZB,Uzbekistan,2012,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17319,1241,UZB,Uzbekistan,2013,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17320,1241,UZB,Uzbekistan,2014,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17321,1241,UZB,Uzbekistan,2015,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17322,1241,UZB,Uzbekistan,2016,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17323,1241,UZB,Uzbekistan,2017,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17324,1241,UZB,Uzbekistan,2018,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17325,1241,UZB,Uzbekistan,2019,0,0,0,0,0,0,0,3,375,1,2,2,1,1,1
17326,1241,UZB,Uzbekistan,2020,0,0,0,0,0,1,0,1,438,,,,,,
17327,1241,UZB,Uzbekistan,2021,0,0,0,0,0,0,0,0,0,,,,,,
17836,1285,YEM,Yemen Republic,2000,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17837,1285,YEM,Yemen Republic,2001,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17838,1285,YEM,Yemen Republic,2002,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17839,1285,YEM,Yemen Republic,2003,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17840,1285,YEM,Yemen Republic,2004,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1
17841,1285,YEM,Yemen Republic,2005,0,0,0,0,0,1,0,0,312,1,2,2,1,1,1
