,Unnamed: 0_x,date,hits,keyword,geo_x,month_x,year_x,country_x,country_code,Unnamed: 0_y,Country,Time,BN.CAB.XOKA.GD.ZS,BX.KLT.DINV.WD.GD.ZS,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EN.ATM.CO2E.PP.GD.KD,EN.POP.DNST,EN.POP.SLUM.UR.ZS,EN.URB.LCTY,EN.URB.MCTY.TL.ZS,FR.INR.LNDP,FR.INR.RINR,FX.OWN.TOTL.40.ZS,GC.DOD.TOTL.GD.ZS,GC.TAX.TOTL.GD.ZS,GC.XPN.INTP.RV.ZS,MS.MIL.XPND.GD.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,PA.NUS.FCRF,PA.NUS.PPPC.RF,PX.REX.REER,SE.ADT.1524.LT.FM.ZS,SE.ADT.1524.LT.ZS,SE.ADT.LITR.ZS,SE.ENR.PRSC.FM.ZS,SE.TER.CUAT.BA.FE.ZS,SE.TER.CUAT.BA.MA.ZS,SE.TER.CUAT.BA.ZS,SH.H2O.BASW.ZS,SH.MED.BEDS.ZS,SH.MED.CMHW.P3,SH.MED.NUMW.P3,SH.MED.PHYS.ZS,SH.STA.BASS.ZS,SH.XPD.CHEX.PP.CD,SI.DST.10TH.10,SI.DST.FRST.10,SI.POV.GINI,SI.POV.LMIC.GP,SI.POV.MDIM,SI.POV.MDIM.IT,SI.POV.MDIM.XQ,SL.UEM.1524.FE.ZS,SL.UEM.1524.MA.ZS,SL.UEM.INTM.ZS,SL.UEM.TOTL.ZS,SL.WAG.0714.ZS,SM.POP.TOTL.ZS,SN.ITK.MSFI.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SP.URB.TOTL.IN.ZS,ST.INT.ARVL,ST.INT.DPRT,geo_y,economy,Unnamed: 0,iso3,country_y,year_y,month_y,unrest_index
3689,179337,2017-12-01,10.0,revolution,SA,12,2017,Saudi Arabia,SAU,20175,Saudi Arabia,2017-12-01,-1.088620703434055,0.6807992454716719,100.0,99.91500091552734,0.3519203759793965,15.725381799236148,,6554432.5,44.85444793539384,,,64.69,,3.3874089675551957,1.129230468836744,10.048293474246297,2.2597026124472053,662734065267.5936,19608.2200565278,3.75,0.4383929888407385,116.0884514983545,0.998970001935959,99.26182556152344,94.87748336791994,0.9568699896335598,23.640725135803248,22.52602005004885,22.95564460754395,99.78813908,2.235,,5.03475,2.4571,99.907719245,2808.4444580100003,,,,,,,,53.89249992370609,20.93200016021725,,5.744999885559086,,32.2949424946542,,78.756,75.88900000000001,83.5115,19747000.0,28183000.0,SA,SAU,1221,SAU,Saudi Arabia,2017,12,0.3281457050313713
3690,179567,2017-12-01,1.0,riots,SA,12,2017,Saudi Arabia,SAU,20175,Saudi Arabia,2017-12-01,-1.088620703434055,0.6807992454716719,100.0,99.91500091552734,0.3519203759793965,15.725381799236148,,6554432.5,44.85444793539384,,,64.69,,3.3874089675551957,1.129230468836744,10.048293474246297,2.2597026124472053,662734065267.5936,19608.2200565278,3.75,0.4383929888407385,116.0884514983545,0.998970001935959,99.26182556152344,94.87748336791994,0.9568699896335598,23.640725135803248,22.52602005004885,22.95564460754395,99.78813908,2.235,,5.03475,2.4571,99.907719245,2808.4444580100003,,,,,,,,53.89249992370609,20.93200016021725,,5.744999885559086,,32.2949424946542,,78.756,75.88900000000001,83.5115,19747000.0,28183000.0,SA,SAU,1221,SAU,Saudi Arabia,2017,12,0.3281457050313713
3691,179797,2017-12-01,15.0,strike,SA,12,2017,Saudi Arabia,SAU,20175,Saudi Arabia,2017-12-01,-1.088620703434055,0.6807992454716719,100.0,99.91500091552734,0.3519203759793965,15.725381799236148,,6554432.5,44.85444793539384,,,64.69,,3.3874089675551957,1.129230468836744,10.048293474246297,2.2597026124472053,662734065267.5936,19608.2200565278,3.75,0.4383929888407385,116.0884514983545,0.998970001935959,99.26182556152344,94.87748336791994,0.9568699896335598,23.640725135803248,22.52602005004885,22.95564460754395,99.78813908,2.235,,5.03475,2.4571,99.907719245,2808.4444580100003,,,,,,,,53.89249992370609,20.93200016021725,,5.744999885559086,,32.2949424946542,,78.756,75.88900000000001,83.5115,19747000.0,28183000.0,SA,SAU,1221,SAU,Saudi Arabia,2017,12,0.3281457050313713
3692,180027,2017-12-01,6.0,violence,SA,12,2017,Saudi Arabia,SAU,20175,Saudi Arabia,2017-12-01,-1.088620703434055,0.6807992454716719,100.0,99.91500091552734,0.3519203759793965,15.725381799236148,,6554432.5,44.85444793539384,,,64.69,,3.3874089675551957,1.129230468836744,10.048293474246297,2.2597026124472053,662734065267.5936,19608.2200565278,3.75,0.4383929888407385,116.0884514983545,0.998970001935959,99.26182556152344,94.87748336791994,0.9568699896335598,23.640725135803248,22.52602005004885,22.95564460754395,99.78813908,2.235,,5.03475,2.4571,99.907719245,2808.4444580100003,,,,,,,,53.89249992370609,20.93200016021725,,5.744999885559086,,32.2949424946542,,78.756,75.88900000000001,83.5115,19747000.0,28183000.0,SA,SAU,1221,SAU,Saudi Arabia,2017,12,0.3281457050313713
3693,180257,2017-12-01,1.0,unrest,SA,12,2017,Saudi Arabia,SAU,20175,Saudi Arabia,2017-12-01,-1.088620703434055,0.6807992454716719,100.0,99.91500091552734,0.3519203759793965,15.725381799236148,,6554432.5,44.85444793539384,,,64.69,,3.3874089675551957,1.129230468836744,10.048293474246297,2.2597026124472053,662734065267.5936,19608.2200565278,3.75,0.4383929888407385,116.0884514983545,0.998970001935959,99.26182556152344,94.87748336791994,0.9568699896335598,23.640725135803248,22.52602005004885,22.95564460754395,99.78813908,2.235,,5.03475,2.4571,99.907719245,2808.4444580100003,,,,,,,,53.89249992370609,20.93200016021725,,5.744999885559086,,32.2949424946542,,78.756,75.88900000000001,83.5115,19747000.0,28183000.0,SA,SAU,1221,SAU,Saudi Arabia,2017,12,0.3281457050313713
3694,179108,2018-01-01,5.0,protest,SA,1,2018,Saudi Arabia,SAU,20176,Saudi Arabia,2018-01-01,-0.6539042413555192,0.6016746608600656,100.0,99.91750081380208,0.3512818529865012,15.755496684017992,,6573543.416666667,44.89226006957311,,,64.66833333333334,,3.3869802109381624,1.1586904347917584,10.077552637032747,3.1440541386024887,662323011106.6117,19558.509667920018,3.75,0.4386175897386336,115.89099762940808,0.9990733315547308,99.2685012817383,94.9526742299398,0.9569883197546002,24.181755860646597,23.005476633707705,23.45890712738037,99.801478675,2.2358333333333333,,4.928791666666666,2.4703500000000003,99.91618087416668,2834.134419761667,,,,,,,,55.073083559672085,21.435166835784877,,5.769166549046838,,32.2949424946542,,78.76266666666666,75.89366666666668,83.52991666666667,19557000.0,28277166.666666668,SA,SAU,1236,SAU,Saudi Arabia,2018,1,0.6966159009410477
3695,179338,2018-01-01,9.0,revolution,SA,1,2018,Saudi Arabia,SAU,20176,Saudi Arabia,2018-01-01,-0.6539042413555192,0.6016746608600656,100.0,99.91750081380208,0.3512818529865012,15.755496684017992,,6573543.416666667,44.89226006957311,,,64.66833333333334,,3.3869802109381624,1.1586904347917584,10.077552637032747,3.1440541386024887,662323011106.6117,19558.509667920018,3.75,0.4386175897386336,115.89099762940808,0.9990733315547308,99.2685012817383,94.9526742299398,0.9569883197546002,24.181755860646597,23.005476633707705,23.45890712738037,99.801478675,2.2358333333333333,,4.928791666666666,2.4703500000000003,99.91618087416668,2834.134419761667,,,,,,,,55.073083559672085,21.435166835784877,,5.769166549046838,,32.2949424946542,,78.76266666666666,75.89366666666668,83.52991666666667,19557000.0,28277166.666666668,SA,SAU,1236,SAU,Saudi Arabia,2018,1,0.6966159009410477
3696,179568,2018-01-01,1.0,riots,SA,1,2018,Saudi Arabia,SAU,20176,Saudi Arabia,2018-01-01,-0.6539042413555192,0.6016746608600656,100.0,99.91750081380208,0.3512818529865012,15.755496684017992,,6573543.416666667,44.89226006957311,,,64.66833333333334,,3.3869802109381624,1.1586904347917584,10.077552637032747,3.1440541386024887,662323011106.6117,19558.509667920018,3.75,0.4386175897386336,115.89099762940808,0.9990733315547308,99.2685012817383,94.9526742299398,0.9569883197546002,24.181755860646597,23.005476633707705,23.45890712738037,99.801478675,2.2358333333333333,,4.928791666666666,2.4703500000000003,99.91618087416668,2834.134419761667,,,,,,,,55.073083559672085,21.435166835784877,,5.769166549046838,,32.2949424946542,,78.76266666666666,75.89366666666668,83.52991666666667,19557000.0,28277166.666666668,SA,SAU,1236,SAU,Saudi Arabia,2018,1,0.6966159009410477
3697,179798,2018-01-01,15.0,strike,SA,1,2018,Saudi Arabia,SAU,20176,Saudi Arabia,2018-01-01,-0.6539042413555192,0.6016746608600656,100.0,99.91750081380208,0.3512818529865012,15.755496684017992,,6573543.416666667,44.89226006957311,,,64.66833333333334,,3.3869802109381624,1.1586904347917584,10.077552637032747,3.1440541386024887,662323011106.6117,19558.509667920018,3.75,0.4386175897386336,115.89099762940808,0.9990733315547308,99.2685012817383,94.9526742299398,0.9569883197546002,24.181755860646597,23.005476633707705,23.45890712738037,99.801478675,2.2358333333333333,,4.928791666666666,2.4703500000000003,99.91618087416668,2834.134419761667,,,,,,,,55.073083559672085,21.435166835784877,,5.769166549046838,,32.2949424946542,,78.76266666666666,75.89366666666668,83.52991666666667,19557000.0,28277166.666666668,SA,SAU,1236,SAU,Saudi Arabia,2018,1,0.6966159009410477
3698,180028,2018-01-01,15.0,violence,SA,1,2018,Saudi Arabia,SAU,20176,Saudi Arabia,2018-01-01,-0.6539042413555192,0.6016746608600656,100.0,99.91750081380208,0.3512818529865012,15.755496684017992,,6573543.416666667,44.89226006957311,,,64.66833333333334,,3.3869802109381624,1.1586904347917584,10.077552637032747,3.1440541386024887,662323011106.6117,19558.509667920018,3.75,0.4386175897386336,115.89099762940808,0.9990733315547308,99.2685012817383,94.9526742299398,0.9569883197546002,24.181755860646597,23.005476633707705,23.45890712738037,99.801478675,2.2358333333333333,,4.928791666666666,2.4703500000000003,99.91618087416668,2834.134419761667,,,,,,,,55.073083559672085,21.435166835784877,,5.769166549046838,,32.2949424946542,,78.76266666666666,75.89366666666668,83.52991666666667,19557000.0,28277166.666666668,SA,SAU,1236,SAU,Saudi Arabia,2018,1,0.6966159009410477
