,region,iso3,country,year,month,unrest_index
105,Western Africa,GMB,Gambia,2000,4,100
106,Western Africa,GNB,Guinea-Bissau,2000,4,150
107,Western Africa,LBR,Liberia,2000,4,20
108,Western Africa,MRT,Mauritania,2000,4,20
109,Western Africa,NER,Niger,2000,4,20
110,Western Africa,NGA,Nigeria,2000,4,1150
111,Western Africa,SEN,Senegal,2000,4,1075
112,Western Africa,SLE,Sierra Leone,2000,4,150
113,Eastern Africa,BDI,Burundi,2000,5,2950
114,Eastern Africa,ERI,Eritrea,2000,5,4380
115,Eastern Africa,ETH,Ethiopia,2000,5,3975
116,Eastern Africa,KEN,Kenya,2000,5,675
117,Eastern Africa,MWI,Malawi,2000,5,45
118,Eastern Africa,RWA,Rwanda,2000,5,25
119,Eastern Africa,SOM,Somalia,2000,5,1600
120,Eastern Africa,UGA,Uganda,2000,5,1200
121,Middle Africa,AGO,Angola,2000,5,1540
122,Middle Africa,COD,Democratic Republic of Congo,2000,5,375
123,Middle Africa,TCD,Chad,2000,5,0
124,Northern Africa,DZA,Algeria,2000,5,725
125,Northern Africa,EGY,Egypt,2000,5,130
126,Northern Africa,MAR,Morocco,2000,5,25
127,Northern Africa,SDN,Sudan,2000,5,1075
128,Southern Africa,LSO,Lesotho,2000,5,20
129,Southern Africa,NAM,Namibia,2000,5,50
130,Southern Africa,ZAF,South Africa,2000,5,95
131,Southern Africa,ZMB,Zambia,2000,5,150
132,Southern Africa,ZWE,Zimbabwe,2000,5,2375
133,Western Africa,BEN,Benin,2000,5,25
134,Western Africa,BFA,Burkina Faso,2000,5,90
135,Western Africa,CIV,Ivory Coast,2000,5,50
136,Western Africa,GHA,Ghana,2000,5,20
137,Western Africa,NER,Niger,2000,5,25
138,Western Africa,NGA,Nigeria,2000,5,2025
139,Western Africa,SEN,Senegal,2000,5,175
140,Western Africa,SLE,Sierra Leone,2000,5,8950
141,Eastern Africa,BDI,Burundi,2000,6,5720
142,Eastern Africa,ERI,Eritrea,2000,6,3000
143,Eastern Africa,ETH,Ethiopia,2000,6,3150
144,Eastern Africa,KEN,Kenya,2000,6,1385
