,iso3,country,year,month,unrest_index
111,DZA,Algeria,2002,7,0.22063251099197148
112,EGY,Egypt,2002,7,0.036018798869744684
113,SDN,Sudan,2002,7,0.6440661079164427
114,DZA,Algeria,2002,8,0.18505224880768173
115,EGY,Egypt,2002,8,0.026728298102138143
116,LBY,Libya,2002,8,0.08807024457145762
117,MAR,Morocco,2002,8,0.0673231145514159
118,SDN,Sudan,2002,8,0.16882036427238006
119,DZA,Algeria,2002,9,0.20593495379334914
120,LBY,Libya,2002,9,0.11025777870009443
121,SDN,Sudan,2002,9,0.31261984645941715
122,DZA,Algeria,2002,10,0.4766829878482485
123,MAR,Morocco,2002,10,0.0003901264205052879
124,SDN,Sudan,2002,10,0.5776227764936244
125,DZA,Algeria,2002,11,0.1250051857893888
126,EGY,Egypt,2002,11,0.01242877806070214
127,MAR,Morocco,2002,11,0.06500343523590818
128,SDN,Sudan,2002,11,0.04982361885113873
129,DZA,Algeria,2002,12,0.2361879798305544
130,EGY,Egypt,2002,12,0.024333453771507196
131,MAR,Morocco,2002,12,0.2595044472974306
132,SDN,Sudan,2002,12,0.11226782696554705
133,TUN,Tunisia,2002,12,0.0003901264205052879
134,DZA,Algeria,2003,1,0.24538641384846702
135,MAR,Morocco,2003,1,0.13010646011653818
136,SDN,Sudan,2003,1,0.06935495777142078
137,DZA,Algeria,2003,2,0.2857802664425162
138,MAR,Morocco,2003,2,0.0011703792615158914
139,SDN,Sudan,2003,2,0.18038081265387423
140,TUN,Tunisia,2003,2,0.04002110779468304
141,DZA,Algeria,2003,3,0.029064418327645086
142,EGY,Egypt,2003,3,0.02056883131849807
143,MAR,Morocco,2003,3,0.0007802528410106313
144,SDN,Sudan,2003,3,0.08591582682987414
145,TUN,Tunisia,2003,3,0.0003901264205052879
146,DZA,Algeria,2003,4,0.22892515834546884
147,EGY,Egypt,2003,4,0.011916880364135657
148,SDN,Sudan,2003,4,0.053366390547051085
149,DZA,Algeria,2003,5,0.23511204487310472
150,MAR,Morocco,2003,5,0.19476236799473318
151,SDN,Sudan,2003,5,0.12345093866028893
152,DZA,Algeria,2003,6,0.14434702109279957
153,SDN,Sudan,2003,6,0.23613498712105974
154,DZA,Algeria,2003,7,0.16397449047306628
155,MAR,Morocco,2003,7,0.12969015580666424
156,SDN,Sudan,2003,7,0.24350740653884062
157,DZA,Algeria,2003,8,0.05381904261749007
158,EGY,Egypt,2003,8,0.0
159,LBY,Libya,2003,8,0.05551343831961919
160,MAR,Morocco,2003,8,0.0647344084161674
161,SDN,Sudan,2003,8,0.08406633490427443
162,TUN,Tunisia,2003,8,0.0004876580256316376
163,DZA,Algeria,2003,9,0.09819777153654267
164,EGY,Egypt,2003,9,0.003995695921470255
165,LBY,Libya,2003,9,0.09972934408325033
166,MAR,Morocco,2003,9,0.06583735589714604
167,SDN,Sudan,2003,9,0.013166766692053994
168,DZA,Algeria,2003,10,0.18675222478548334
169,SDN,Sudan,2003,10,0.09139818101378511
170,DZA,Algeria,2003,11,0.004388922230684683
171,SDN,Sudan,2003,11,0.0819038756320223
172,DZA,Algeria,2003,12,0.12488578777876048
173,SDN,Sudan,2003,12,0.026333533384107932
174,DZA,Algeria,2004,1,0.10679010214407308
175,MAR,Morocco,2004,1,0.06755846374192234
176,SDN,Sudan,2004,1,0.08924141869058809
