,iso3,country,year,month,unrest_index
10054,MAR,Morocco,2003,3,40
10295,SDN,Sudan,2003,3,1095
10540,TUN,Tunisia,2003,3,20
9375,DZA,Algeria,2003,4,1440
9639,EGY,Egypt,2003,4,0
10296,SDN,Sudan,2003,4,1075
9376,DZA,Algeria,2003,5,1765
10055,MAR,Morocco,2003,5,75
10297,SDN,Sudan,2003,5,1350
9377,DZA,Algeria,2003,6,2250
10298,SDN,Sudan,2003,6,475
9378,DZA,Algeria,2003,7,670
10056,MAR,Morocco,2003,7,25
10299,SDN,Sudan,2003,7,2500
9379,DZA,Algeria,2003,8,175
9640,EGY,Egypt,2003,8,0
9856,LBY,Libya,2003,8,25
10057,MAR,Morocco,2003,8,0
10300,SDN,Sudan,2003,8,975
10541,TUN,Tunisia,2003,8,25
9380,DZA,Algeria,2003,9,2445
9641,EGY,Egypt,2003,9,0
9857,LBY,Libya,2003,9,25
10058,MAR,Morocco,2003,9,50
10301,SDN,Sudan,2003,9,675
9381,DZA,Algeria,2003,10,1750
10302,SDN,Sudan,2003,10,1320
9382,DZA,Algeria,2003,11,225
10303,SDN,Sudan,2003,11,2500
9383,DZA,Algeria,2003,12,1100
10304,SDN,Sudan,2003,12,1350
9384,DZA,Algeria,2004,1,120
10059,MAR,Morocco,2004,1,25
10305,SDN,Sudan,2004,1,4575
10542,TUN,Tunisia,2004,1,25
9385,DZA,Algeria,2004,2,90
9858,LBY,Libya,2004,2,25
10060,MAR,Morocco,2004,2,40
10306,SDN,Sudan,2004,2,2995
9386,DZA,Algeria,2004,3,415
9859,LBY,Libya,2004,3,75
10307,SDN,Sudan,2004,3,3750
10543,TUN,Tunisia,2004,3,20
9387,DZA,Algeria,2004,4,655
10308,SDN,Sudan,2004,4,1550
10544,TUN,Tunisia,2004,4,20
9388,DZA,Algeria,2004,5,1140
9860,LBY,Libya,2004,5,25
10309,SDN,Sudan,2004,5,2250
9389,DZA,Algeria,2004,6,1175
9861,LBY,Libya,2004,6,25
10310,SDN,Sudan,2004,6,2000
9390,DZA,Algeria,2004,7,1150
10061,MAR,Morocco,2004,7,25
10311,SDN,Sudan,2004,7,4795
9391,DZA,Algeria,2004,8,620
10062,MAR,Morocco,2004,8,150
10312,SDN,Sudan,2004,8,2545
9392,DZA,Algeria,2004,9,1775
10313,SDN,Sudan,2004,9,1750
9393,DZA,Algeria,2004,10,1250
9642,EGY,Egypt,2004,10,75
10314,SDN,Sudan,2004,10,2100
10545,TUN,Tunisia,2004,10,20
9394,DZA,Algeria,2004,11,1000
9643,EGY,Egypt,2004,11,0
10063,MAR,Morocco,2004,11,20
10315,SDN,Sudan,2004,11,3325
9395,DZA,Algeria,2004,12,1275
10316,SDN,Sudan,2004,12,4725
10546,TUN,Tunisia,2004,12,25
9396,DZA,Algeria,2005,1,850
9644,EGY,Egypt,2005,1,20
10064,MAR,Morocco,2005,1,20
10317,SDN,Sudan,2005,1,2195
9397,DZA,Algeria,2005,2,1475
9645,EGY,Egypt,2005,2,170
10318,SDN,Sudan,2005,2,2875
9398,DZA,Algeria,2005,3,600
9646,EGY,Egypt,2005,3,80
10065,MAR,Morocco,2005,3,20
10319,SDN,Sudan,2005,3,2675
10547,TUN,Tunisia,2005,3,20
9399,DZA,Algeria,2005,4,175
9647,EGY,Egypt,2005,4,270
10320,SDN,Sudan,2005,4,2350
9400,DZA,Algeria,2005,5,1220
9648,EGY,Egypt,2005,5,140
9862,LBY,Libya,2005,5,25
10066,MAR,Morocco,2005,5,85
10321,SDN,Sudan,2005,5,770
9401,DZA,Algeria,2005,6,1175
9649,EGY,Egypt,2005,6,0
9863,LBY,Libya,2005,6,45
10067,MAR,Morocco,2005,6,60
10322,SDN,Sudan,2005,6,2025
9402,DZA,Algeria,2005,7,700
9650,EGY,Egypt,2005,7,115
10068,MAR,Morocco,2005,7,20
10323,SDN,Sudan,2005,7,1150
9403,DZA,Algeria,2005,8,525
9651,EGY,Egypt,2005,8,20
10069,MAR,Morocco,2005,8,50
10324,SDN,Sudan,2005,8,2200
9404,DZA,Algeria,2005,9,1100
10325,SDN,Sudan,2005,9,2375
9405,DZA,Algeria,2005,10,1100
9652,EGY,Egypt,2005,10,125
9864,LBY,Libya,2005,10,20
10070,MAR,Morocco,2005,10,40
10326,SDN,Sudan,2005,10,1350
9406,DZA,Algeria,2005,11,400
9653,EGY,Egypt,2005,11,50
9865,LBY,Libya,2005,11,45
10071,MAR,Morocco,2005,11,40
10327,SDN,Sudan,2005,11,1625
10548,TUN,Tunisia,2005,11,25
9407,DZA,Algeria,2005,12,375
9654,EGY,Egypt,2005,12,220
9866,LBY,Libya,2005,12,25
10072,MAR,Morocco,2005,12,25
10328,SDN,Sudan,2005,12,670
9408,DZA,Algeria,2006,1,1175
9867,LBY,Libya,2006,1,20
10329,SDN,Sudan,2006,1,1825
9409,DZA,Algeria,2006,2,585
9868,LBY,Libya,2006,2,100
10073,MAR,Morocco,2006,2,20
10330,SDN,Sudan,2006,2,1125
9410,DZA,Algeria,2006,3,970
