,country_code,date,protest,revolution,riots,strike,unrest,violence
0,ABW,2005-01-01,22.0,0.0,0.0,13.166666666666666,,15.416666666666666
1,ABW,2006-01-01,13.0,4.25,12.75,7.0,,7.166666666666667
2,ABW,2007-01-01,4.25,11.416666666666666,6.333333333333333,5.25,,2.6666666666666665
3,ABW,2008-01-01,0.4166666666666667,15.833333333333334,0.0,1.6666666666666667,,2.4166666666666665
4,ABW,2009-01-01,1.0833333333333333,1.9166666666666667,3.0,0.75,,0.5833333333333334
5,ABW,2010-01-01,0.6666666666666666,5.916666666666667,5.75,1.0833333333333333,,2.25
6,ABW,2011-01-01,2.4166666666666665,2.4166666666666665,0.75,1.75,,0.8333333333333334
7,ABW,2012-01-01,1.5,1.5833333333333333,1.9166666666666667,1.5833333333333333,,0.25
8,ABW,2013-01-01,0.4166666666666667,4.75,1.9166666666666667,0.9166666666666666,,0.6666666666666666
9,ABW,2014-01-01,0.5,4.75,2.25,0.75,,0.5
10,ABW,2015-01-01,1.0833333333333333,1.0833333333333333,0.8333333333333334,1.5,,0.75
11,ABW,2016-01-01,0.4166666666666667,3.75,0.9166666666666666,1.4166666666666667,,0.3333333333333333
12,ABW,2017-01-01,0.16666666666666666,1.5833333333333333,1.9166666666666667,0.5,,0.4166666666666667
13,ABW,2018-01-01,0.3333333333333333,1.9166666666666667,1.6666666666666667,0.6666666666666666,,0.0
14,ABW,2019-01-01,0.25,2.0833333333333335,0.4166666666666667,0.8333333333333334,,0.4166666666666667
15,ABW,2020-01-01,0.6666666666666666,2.0833333333333335,1.0,0.9166666666666666,,0.25
16,AFG,2005-01-01,8.833333333333334,17.416666666666668,9.666666666666666,14.083333333333334,,0.0
17,AFG,2006-01-01,0.75,2.5833333333333335,2.25,4.75,,16.0
18,AFG,2007-01-01,0.9166666666666666,0.0,1.0,3.4166666666666665,,1.75
19,AFG,2008-01-01,0.5833333333333334,2.1666666666666665,0.75,5.25,,1.0
20,AFG,2009-01-01,0.16666666666666666,2.4166666666666665,0.0,1.0833333333333333,,0.5
21,AFG,2010-01-01,0.16666666666666666,3.8333333333333335,0.25,1.75,,1.8333333333333333
22,AFG,2011-01-01,0.20833333333333334,1.9166666666666667,0.5,0.3333333333333333,,1.6666666666666667
23,AFG,2012-01-01,0.041666666666666664,0.16666666666666666,0.20833333333333334,0.3333333333333333,,0.0
24,AFG,2013-01-01,0.20833333333333334,0.3333333333333333,0.16666666666666666,0.75,,0.7083333333333334
25,AFG,2014-01-01,0.16666666666666666,0.6666666666666666,0.041666666666666664,0.75,,0.5833333333333334
26,AFG,2015-01-01,0.20833333333333334,0.5416666666666666,0.25,0.75,,0.5833333333333334
27,AFG,2016-01-01,0.20833333333333334,0.625,0.125,0.7083333333333334,,0.5
28,AFG,2017-01-01,0.08333333333333333,0.4166666666666667,0.20833333333333334,0.7916666666666666,,0.5
29,AFG,2018-01-01,0.20833333333333334,0.2916666666666667,0.041666666666666664,0.9583333333333334,,0.5416666666666666
30,AFG,2019-01-01,0.20833333333333334,0.5,0.16666666666666666,0.875,,0.75
31,AFG,2020-01-01,0.2916666666666667,0.4166666666666667,0.08333333333333333,0.7916666666666666,,0.625
32,AGO,2005-01-01,16.0,15.25,,12.416666666666666,,0.0
33,AGO,2006-01-01,8.75,0.0,,10.333333333333334,,8.333333333333334
34,AGO,2007-01-01,3.5833333333333335,2.5833333333333335,,2.4166666666666665,,12.083333333333334
35,AGO,2008-01-01,5.333333333333333,0.16666666666666666,,5.5,,7.916666666666667
36,AGO,2009-01-01,1.9166666666666667,0.0,,1.75,,3.6666666666666665
37,AGO,2010-01-01,2.0,0.3333333333333333,,0.9166666666666666,,3.1666666666666665
38,AGO,2011-01-01,1.3333333333333333,0.4166666666666667,,0.5833333333333334,,0.6666666666666666
39,AGO,2012-01-01,0.5833333333333334,0.16666666666666666,,0.16666666666666666,,0.75
40,AGO,2013-01-01,0.16666666666666666,0.4166666666666667,,0.2916666666666667,,0.5
41,AGO,2014-01-01,0.20833333333333334,0.375,,0.4166666666666667,,0.375
42,AGO,2015-01-01,0.16666666666666666,0.4166666666666667,,0.2916666666666667,,0.5416666666666666
43,AGO,2016-01-01,0.20833333333333334,0.4583333333333333,,0.375,,0.2916666666666667
44,AGO,2017-01-01,0.125,0.375,,0.25,,0.375
45,AGO,2018-01-01,0.08333333333333333,0.25,,0.375,,0.25
46,AGO,2019-01-01,0.20833333333333334,0.25,,0.4583333333333333,,0.7916666666666666
47,AGO,2020-01-01,0.125,0.2916666666666667,,0.2916666666666667,,0.20833333333333334
48,AIA,2005-01-01,,25.083333333333332,,,,
49,AIA,2006-01-01,,9.5,,,,
50,AIA,2007-01-01,,1.0,,,,
51,AIA,2008-01-01,,2.5833333333333335,,,,
52,AIA,2009-01-01,,1.0833333333333333,,,,
53,AIA,2010-01-01,,0.16666666666666666,,,,
54,AIA,2011-01-01,,0.08333333333333333,,,,
55,AIA,2012-01-01,,0.5,,,,
56,AIA,2013-01-01,,0.16666666666666666,,,,
57,AIA,2014-01-01,,0.4166666666666667,,,,
58,AIA,2015-01-01,,0.20833333333333334,,,,
59,AIA,2016-01-01,,0.20833333333333334,,,,
60,AIA,2017-01-01,,0.25,,,,
61,AIA,2018-01-01,,0.25,,,,
62,AIA,2019-01-01,,0.25,,,,
63,AIA,2020-01-01,,0.25,,,,
64,ALA,2005-01-01,,0.0,,0.0,,
65,ALA,2006-01-01,,0.0,,0.0,,
66,ALA,2007-01-01,,0.0,,0.0,,
67,ALA,2008-01-01,,0.0,,2.5,,
